time_millisec,led41,led42,led43,led44,led45,led46,led47,led48,led49,label,time counter
3,-1479,-75,2236,84,758,2203,-24,955,3029,1,3
15,-1477,-64,2234,80,753,2198,-29,955,3028,1,
24,-1475,-53,2232,76,748,2193,-34,955,3027,1,
36,-1473,-42,2230,72,743,2188,-39,955,3026,1,
46,-1471,-31,2228,68,738,2183,-44,955,3025,1,
57,-1469,-20,2226,64,733,2178,-49,955,3024,1,
65,-1467,-9,2224,60,728,2173,-54,955,3023,1,
77,-1465,2,2222,56,723,2168,-59,955,3022,1,
86,-1463,13,2220,52,718,2163,-64,955,3021,1,
97,-1461,24,2218,48,713,2158,-69,955,3020,1,
104,-1459,35,2216,44,708,2153,-74,955,3019,1,
116,-1457,46,2214,40,703,2148,-79,955,3018,1,
125,-1455,57,2212,36,698,2143,-84,955,3017,1,
137,-1453,68,2210,32,693,2138,-89,955,3016,1,
145,-1451,79,2208,28,688,2133,-94,955,3015,1,
157,-1449,90,2206,24,683,2128,-99,955,3014,1,
166,-1447,101,2204,20,678,2123,-104,955,3013,1,
177,-1445,112,2202,16,673,2118,-109,955,3012,1,
185,-1443,123,2200,12,668,2113,-114,955,3011,1,
197,-1441,134,2198,8,663,2108,-119,955,3010,1,
205,-1439,145,2196,4,658,2103,-124,955,3009,1,
217,-1437,156,2194,0,653,2098,-129,955,3008,1,
224,-1435,167,2192,-4,648,2093,-134,955,3007,1,
237,-1433,178,2190,-8,643,2088,-139,955,3006,1,
246,-1431,189,2188,-12,638,2083,-144,955,3005,1,
257,-1429,200,2186,-16,633,2078,-149,955,3004,1,
264,-1427,211,2184,-20,628,2073,-154,955,3003,1,
276,-1425,222,2182,-24,623,2068,-159,955,3002,1,
285,-1423,233,2180,-28,618,2063,-164,955,3001,1,
298,-1421,244,2178,-32,613,2058,-169,955,3000,1,
307,-1419,255,2176,-36,608,2053,-174,955,2999,1,
317,-1417,266,2174,-40,603,2048,-179,955,2998,1,
326,-1415,277,2172,-44,598,2043,-184,955,2997,1,
338,-1413,288,2170,-48,593,2038,-189,955,2996,1,
347,-1411,299,2168,-52,588,2033,-194,955,2995,1,
357,-1409,310,2166,-56,583,2028,-199,955,2994,1,
366,-1407,321,2164,-60,578,2023,-204,955,2993,1,
378,-1405,332,2162,-64,573,2018,-209,955,2992,1,
385,-1403,343,2160,-68,568,2013,-214,955,2991,1,
397,-1401,354,2158,-72,563,2008,-219,955,2990,1,
406,-1399,365,2156,-76,558,2003,-224,955,2989,1,
418,-1397,376,2154,-80,553,1998,-229,955,2988,1,
427,-1395,387,2152,-84,548,1993,-234,955,2987,1,
437,-1393,398,2150,-88,543,1988,-239,955,2986,1,
446,-1391,409,2148,-92,538,1983,-244,955,2985,1,
458,-1389,420,2146,-96,533,1978,-249,955,2984,1,
468,-1387,431,2144,-100,528,1973,-254,955,2983,1,
478,-1385,442,2142,-104,523,1968,-259,955,2982,1,
486,-1383,453,2140,-108,518,1963,-264,955,2981,1,
