time_millisec,led21,led22,led23,label,time counter
3,455621,537051,587207,1,3
15,455911,537352,587181,1,
24,456201,537653,587155,1,
36,456491,537954,587129,1,
46,456781,538255,587103,1,
57,457071,538556,587077,1,
65,457361,538857,587051,1,
77,457651,539158,587025,1,
86,457941,539459,586999,1,
97,458231,539760,586973,1,
104,458521,540061,586947,1,
116,458811,540362,586921,1,
125,459101,540663,586895,1,
137,459391,540964,586869,1,
145,459681,541265,586843,1,
157,459971,541566,586817,1,
166,460261,541867,586791,1,
177,460551,542168,586765,1,
185,460841,542469,586739,1,
197,461131,542770,586713,1,
205,461421,543071,586687,1,
217,461711,543372,586661,1,
224,462001,543673,586635,1,
237,462291,543974,586609,1,
246,462581,544275,586583,1,
257,462871,544576,586557,1,
264,463161,544877,586531,1,
276,463451,545178,586505,1,
285,463741,545479,586479,1,
298,464031,545780,586453,1,
307,464321,546081,586427,1,
317,464611,546382,586401,1,
326,464901,546683,586375,1,
338,465191,546984,586349,1,
347,465481,547285,586323,1,
357,465771,547586,586297,1,
366,466061,547887,586271,1,
378,466351,548188,586245,1,
385,466641,548489,586219,1,
397,466931,548790,586193,1,
406,467221,549091,586167,1,
418,467511,549392,586141,1,
427,467801,549693,586115,1,
437,468091,549994,586089,1,
446,468381,550295,586063,1,
458,468671,550596,586037,1,
468,468961,550897,586011,1,
478,469251,551198,585985,1,
486,469541,551499,585959,1,
498,469831,551800,585933,1,
508,470121,552101,585907,1,
518,470411,552402,585881,1,
526,470701,552703,585855,1,
538,470991,553004,585829,1,
547,471281,553305,585803,1,
558,471571,553606,585777,1,
568,471861,553907,585751,1,
578,472151,554208,585725,1,
587,472441,554509,585699,1,
599,472731,554810,585673,1,
608,473021,555111,585647,1,
619,473311,555412,585621,1,
628,473601,555713,585595,1,
639,473891,556014,585569,1,
644,474181,556315,585543,1,
657,474471,556616,585517,1,
667,474761,556917,585491,1,
679,475051,557218,585465,1,
688,475341,557519,585439,1,
697,475631,557820,585413,1,
707,475921,558121,585387,1,
718,476211,558422,585361,1,
727,476501,558723,585335,1,
738,476791,559024,585309,1,
746,477081,559325,585283,1,
760,477371,559626,585257,1,
768,477661,559927,585231,1,
778,477951,560228,585205,1,
788,478241,560529,585179,1,
799,478531,560830,585153,1,
809,478821,561131,585127,1,
819,479111,561432,585101,1,
827,479401,561733,585075,1,
839,479691,562034,585049,1,
848,479981,562335,585023,1,
867,480271,562636,584997,1,
868,480561,562937,584971,1,
880,480851,563238,584945,1,
889,481141,563539,584919,1,
899,481431,563840,584893,1,
908,481721,564141,584867,1,
921,482011,564442,584841,1,
929,482301,564743,584815,1,
939,482591,565044,584789,1,
948,482881,565345,584763,1,
960,483171,565646,584737,1,
969,483461,565947,584711,1,
979,483751,566248,584685,1,
987,484041,566549,584659,1,
1000,484661,567192,584636,1,
1009,484717,566746,584750,1,
1019,484773,566300,584864,1,
1028,484829,565854,584978,1,
1040,484885,565408,585092,1,
1048,484941,564962,585206,1,
1059,484997,564516,585320,1,
1068,485053,564070,585434,1,
1080,485109,563624,585548,1,
1089,485165,563178,585662,1,
1099,485221,562732,585776,1,
1109,485277,562286,585890,1,
1120,485333,561840,586004,1,
1129,485389,561394,586118,1,
1148,485445,560948,586232,1,
1150,485501,560502,586346,1,
1169,485557,560056,586460,1,
1170,485613,559610,586574,1,
1189,485669,559164,586688,1,
1191,485725,558718,586802,1,
1209,485781,558272,586916,1,
1210,485837,557826,587030,1,
1229,485893,557380,587144,1,
1231,485949,556934,587258,1,
1249,486005,556488,587372,1,
1251,486061,556042,587486,1,
1269,486117,555596,587600,1,
1271,486173,555150,587714,1,
1289,486229,554704,587828,1,
1292,486285,554258,587942,1,
1303,486341,553812,588056,1,
1310,486397,553366,588170,1,
1321,486453,552920,588284,1,
1329,486509,552474,588398,1,
1341,486565,552028,588512,1,
1351,486621,551582,588626,1,
1357,486677,551136,588740,1,
1370,486733,550690,588854,1,
1381,486789,550244,588968,1,
1390,486845,549798,589082,1,
1408,486901,549352,589196,1,
1409,486957,548906,589310,1,
1428,487013,548460,589424,1,
1430,487069,548014,589538,1,
1448,487125,547568,589652,1,
1451,487181,547122,589766,1,
1468,487237,546676,589880,1,
1470,487293,546230,589994,1,
1487,487349,545784,590108,1,
1491,487405,545338,590222,1,
1508,487461,544892,590336,1,
1510,487517,544446,590450,1,
1529,487573,544000,590564,1,
1530,487629,543554,590678,1,
1549,487685,543108,590792,1,
1551,487741,542662,590906,1,
1570,487797,542216,591020,1,
1572,487853,541770,591134,1,
1591,487909,541324,591248,1,
